range_start,range_end,journal,volume,issue,issue_heading,published_date,title,authors,score,priority,lab_relevance,themes,matched_groups,matched_terms,doi,url,review_o,review_x,training_label,reviewer_notes,abstract
2026-08-17,2026-08-31,Science,393,6814,"Volume 393, Issue 6814, Aug 2026",2026-08-27,Nonviral delivery of chemically modified tRNA rescues nonsense mutations in cystic fibrosis,"Jingan Chen, Muye Zhou, ..., Bowen Li",18.0,Must read,3,Liver metabolism / MASLD,liver_axis,liver_axis: fibrosis,10.1126/science.aeb0054,https://doi.org/10.1126/science.aeb0054,,,,,"Suppressor transfer RNAs (sup-tRNAs) can rescue disease-causing nonsense mutations by promoting readthrough of premature termination codons (PTCs). Their clinical translation is limited by suboptimal activity and inefficient in vivo delivery. In this work, we combined site-specific chemical modification of sup-tRNAs with cargo-tailored pulmonary lipid nanoparticle (LNP) engineering to overcome these barriers. Incorporation of N 1 -methyladenosine in sup-tRNAs improved PTC readthrough, enhanced tRNA aminoacylation, prolonged functional persistence, and reduced innate immune activation. High-throughput ionizable lipid screening and formulation optimization identified a sup-tRNA–tailored LNP that efficiently delivered chemically modified sup-tRNAs to the lung. This approach restored cystic fibrosis transmembrane conductance regulator (CFTR) expression and function in bronchial epithelial cells, mouse models, and patient-derived organoids. Thus, LNP-delivered, chemically engineered sup-tRNAs represent a potential therapeutic platform for treating nonsense mutations."
2026-08-17,2026-08-31,Science,393,6814,"Volume 393, Issue 6814, Aug 2026",2026-08-27,A necroptotic-to-apoptotic signaling axis underlies inflammatory bowel disease,"Jiyi Pang, Aysha H. Al-Ani, ..., James M. Murphy",8.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,"inflammation_immunity: inflammation, macrophage",10.1126/science.aeh7112,https://doi.org/10.1126/science.aeh7112,,,,,"Inflammatory bowel disease (IBD) is a chronic condition caused by altered cytokine signaling, maladaptive immunity, dysbiosis, and intestinal barrier dysfunction. Although current therapies aim to correct these imbalances to induce remission, most patients ultimately relapse, suggesting that key pathogenic mechanisms persist. Here, we identified aberrant epithelial cell death signaling as an underlying feature of IBD that arises in patients in remission and on advanced therapy. Mechanistically, nascent inflammation skewed epithelial cells into an M1-macrophage–like transcriptional state that promoted RIPK1-independent necroptotic signaling. This signaling then triggered inducible nitric oxide synthase–assisted mitochondrial apoptosis of absorptive epithelial cells and PUMA-mediated intestinal stem cell death. Thus, aberrant epithelial cell death signaling represents a hallmark of IBD that occurs early in mucosal lesion development, persists despite current therapeutic strategies, and predicts clinical relapse."
2026-08-17,2026-08-31,Science,393,6814,"Volume 393, Issue 6814, Aug 2026",2026-08-27,Beyond wrinkles,"Sasan Jalili, Julia Oh",6.0,Archive only,1,Aging / senescence,aging_senescence,aging_senescence: aging,10.1126/science.aeh4348,https://doi.org/10.1126/science.aeh4348,,,,,Can the skin microbiome shape healthy aging?
2026-08-09,2026-08-23,Science,393,6813,"Volume 393, Issue 6813, Aug 2026",2026-08-20,RAD51 stabilizes neutrophil extracellular traps to compartmentalize inflammation,"Lorenza Iolanda Tsansizi, Sophie Yihan Guan, ..., Venizelos Papayannopoulos",19.0,Must read,3,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1126/science.aed9286,https://doi.org/10.1126/science.aed9286,,,,,"Neutrophil extracellular traps (NETs) feature a branched chromatin architecture whose origin and function remain unknown. We found that NET branching is mediated by RAD51, a protein generating DNA junctions during DNA recombination repair. Pharmacological inhibition, RAD51 knockdown, or GEN1 and RuvC resolvase treatment reduced branching and destabilized NETs, whereas RAD51 up-regulation by different stimuli generated NETs with variable stability. RAD51 inhibition during murine pulmonary Aspergillus fumigatus infection dismantled NETs and reduced lung cytokines. However, the increased accumulation of NET components in the circulation led to interleukin-6 (IL-6) induction in circulating monocytes that exacerbated type 2 inflammation and asthma. Extracellular plasma DNA correlated with IL-6 and eotaxin in human aspergillosis. By structurally stabilizing NETs, RAD51 compartmentalizes inflammation to thwart aberrant systemic immune activation, linking DNA repair to inflammation."
2026-08-02,2026-08-16,Science,393,6812,"Volume 393, Issue 6812, Aug 2026",2026-08-13,Chemovaccination with a late-liver-stage antimalarial induces durable immunity against malaria,"Ryan W. J. Steel, Yu Cheng Chua, ..., Justin A. Boddey",27.0,Must read,3,Liver metabolism / MASLD; Inflammation / immune regulation,liver_axis; inflammation_immunity,liver_axis: liver | inflammation_immunity: T cell,10.1126/science.aea7605,https://doi.org/10.1126/science.aea7605,,,,,"Plasmodium falciparum sporozoite vaccines, in which parasites are attenuated at the liver stage, provide high efficacy but require complex manufacture and intravenous administration of high sporozoite doses. We found that a single low-dose P. berghei sporozoite exposure (intravenous or mosquito bite) and treatment with a plasmepsin IX and X (PMIX/X) inhibitor, either WM382 or MK-7602, that produced “chemo-attenuated liver merozoites” (CALM) induced sterile immunity in mice for up to 21 months. Protection involved anti–circumsporozoite protein (CSP) antibodies and CD8 + T cells, including liver-resident memory subsets that recognized diverse antigens (SERA1, RPL6, GAP50, RNT, PHIST, S20, and RBP). WM382 also attenuated P. falciparum liver merozoites, and conservation of PMIX/X active sites supports pan- Plasmodium potential for preventing malaria. CALM vaccination merits clinical evaluation, including by natural mosquito exposure if long-acting injectable PMIX/X inhibitor formulations prove feasible."
2026-07-30,2026-08-13,Science,393,6811,"Volume 393, Issue 6811, Aug 2026",2026-08-06,The fungal pathogen <i>Candida auris</i> exposes chitin to trigger IFNγ and persist in hair follicles,"Eric Dean Merrill, Victoria Prudent, ..., Suzanne M. Noble",6.6,Archive only,1,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: immune response,10.1126/science.adu6688,https://doi.org/10.1126/science.adu6688,,,,,
2026-07-30,2026-08-13,Science,393,6810,"Volume 393, Issue 6810, Jul 2026",2026-07-30,Atlas of lysosomal aging reveals a metabolite signature shared with lysosomal storage disorders,"Anna M. Puszynska, Thao P. Nguyen, ..., Jonathan S. Weissman",25.0,Must read,3,Adipose tissue / adipocyte biology; Aging / senescence,adipose_axis; aging_senescence,"adipose_axis: adipose tissue, white adipose tissue | aging_senescence: aging",10.1126/science.ady0832,https://doi.org/10.1126/science.ady0832,,,,,
2026-07-30,2026-08-13,Science,393,6810,"Volume 393, Issue 6810, Jul 2026",2026-07-30,Signatures of aging and disease in a single organelle,"Jeeyoon Na, Anne Brunet",12.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1126/science.aej5901,https://doi.org/10.1126/science.aej5901,,,,,
2026-06-30,2026-07-14,Science,393,6807,"Volume 393, Issue 6807, Jul 2026",2026-07-09,The CARM1 epigenetic enzyme inhibits cross-presenting dendritic cell function in cancer immunity,"Xixi Zhang, Sherin Xirenayi, ..., Kai W. Wucherpfennig",11.8,Worth scanning,2,Inflammation / immune regulation; Cell targeting / therapy,inflammation_immunity; therapy_translation,inflammation_immunity: T cell | therapy_translation: therapeutic target,10.1126/science.aea1200,https://doi.org/10.1126/science.aea1200,,,,,
2026-06-30,2026-07-14,Science,393,6807,"Volume 393, Issue 6807, Jul 2026",2026-07-09,A single freeze cycle redirects iron mineral transformation,"Tao Luo, Tao Chen, ..., Jean-François Boily",6.0,Archive only,1,Aging / senescence,aging_senescence,aging_senescence: aging,10.1126/science.aee9519,https://doi.org/10.1126/science.aee9519,,,,,
